,AvailabilityZone,InstanceType,Max,Mean,Median,Min,STD,OnDemand,yrTerm1Standard.allUpfront,yrTerm1Standard.noUpfront,yrTerm1Standard.partialUpfront,yrTerm3Convertible.allUpfront,yrTerm3Convertible.noUpfront,yrTerm3Convertible.partialUpfront,yrTerm3Standard.allUpfront,yrTerm3Standard.partialUpfront
0,ap-southeast-2b,r4.large,0.108,0.07221637681159405,0.0661,0.066,0.01383920764666701,0.16,0.094,0.11199999999999999,0.096,0.084,0.10099999999999999,0.086,0.06,0.064
1,ap-southeast-2c,r4.large,0.108,0.07217869565217382,0.0661,0.066,0.013854144767221153,0.16,0.094,0.11199999999999999,0.096,0.084,0.10099999999999999,0.086,0.06,0.064
2,eu-central-1a,r4.large,0.108,0.068157,0.0662,0.066,0.00720782728237529,0.16,0.094,0.11199999999999999,0.096,0.085,0.10099999999999999,0.086,0.06,0.064
3,eu-central-1b,r4.large,0.108,0.06782478260869558,0.06605,0.066,0.007157408246911042,0.16,0.094,0.11199999999999999,0.096,0.085,0.10099999999999999,0.086,0.06,0.064
4,eu-west-1a,r4.large,0.1061,0.08674199999999985,0.078,0.06405,0.01789322797508657,0.14800000000000002,0.087,0.10400000000000001,0.08900000000000001,0.078,0.094,0.08,0.055999999999999994,0.059000000000000004
5,eu-west-1b,r4.large,0.10725000000000001,0.07072426777087645,0.066,0.06455,0.00985331166947804,0.14800000000000002,0.087,0.10400000000000001,0.08900000000000001,0.078,0.094,0.08,0.055999999999999994,0.059000000000000004
6,eu-west-1c,r4.large,0.1063,0.08624130434782602,0.078,0.06405,0.018733768067918016,0.14800000000000002,0.087,0.10400000000000001,0.08900000000000001,0.078,0.094,0.08,0.055999999999999994,0.059000000000000004
7,us-east-1a,r4.large,0.10830000000000001,0.07073030054245272,0.0643375,0.063,0.014288119440394953,0.133,0.078,0.09300000000000001,0.08,0.07,0.084,0.07200000000000001,0.05,0.053
8,us-east-1c,r4.large,0.1051,0.07866341200828171,0.0634,0.063,0.01950066720984679,0.133,0.078,0.09300000000000001,0.08,0.07,0.084,0.07200000000000001,0.05,0.053
9,us-east-1d,r4.large,2.25,0.19549414240343949,0.14073333333333332,0.063,0.30397604373900416,0.133,0.078,0.09300000000000001,0.08,0.07,0.084,0.07200000000000001,0.05,0.053
10,us-west-1b,r4.large,0.106,0.06839159946236553,0.06420000000000001,0.064,0.011062447455680385,0.14800000000000002,0.087,0.10400000000000001,0.08900000000000001,0.078,0.094,0.08,0.055999999999999994,0.059000000000000004
11,us-west-1c,r4.large,0.106,0.06814061827956981,0.06409999999999999,0.064,0.011138431805666335,0.14800000000000002,0.087,0.10400000000000001,0.08900000000000001,0.078,0.094,0.08,0.055999999999999994,0.059000000000000004
12,us-west-2a,r4.large,0.1051,0.07574120967741954,0.0631,0.063,0.01791145959165933,0.133,0.078,0.09300000000000001,0.08,0.07,0.084,0.07200000000000001,0.05,0.053
13,us-west-2b,r4.large,0.1051,0.07574120967741954,0.0631,0.063,0.01791145959165933,0.133,0.078,0.09300000000000001,0.08,0.07,0.084,0.07200000000000001,0.05,0.053
14,us-west-2c,r4.large,0.1051,0.07441540322580657,0.06319999999999999,0.063,0.017193424835083442,0.133,0.078,0.09300000000000001,0.08,0.07,0.084,0.07200000000000001,0.05,0.053
15,ap-northeast-2a,m4.16xlarge,5.385000000000001,1.1834918095462217,0.6021000000000001,0.528,1.3426700788617831,4.228,2.358,2.815,2.406,2.122,2.5340000000000003,2.165,1.6380000000000001,1.743
16,ap-northeast-2c,m4.16xlarge,5.335,1.0355000611551575,0.6060285714285715,0.528,0.9923716830695279,4.228,2.358,2.815,2.406,2.122,2.5340000000000003,2.165,1.6380000000000001,1.743
17,ap-southeast-1a,m4.16xlarge,4.6,1.2817982838962954,1.1651,0.6179999999999999,0.6211929055541657,4.263999999999999,2.503,2.988,2.5540000000000003,2.253,2.6889999999999996,2.299,1.587,1.6880000000000002
18,ap-southeast-1b,m4.16xlarge,4.6,0.9416154542572338,0.7673,0.6179999999999999,0.674761749743648,4.263999999999999,2.503,2.988,2.5540000000000003,2.253,2.6889999999999996,2.299,1.587,1.6880000000000002
19,ap-southeast-2a,m4.16xlarge,4.57,0.7597495964584615,0.6263333333333333,0.588,0.6236071472265626,4.305,2.71,3.235,2.765,2.439,2.912,2.489,1.798,1.913
20,ap-southeast-2b,m4.16xlarge,4.57,0.6869950295688295,0.59794,0.588,0.5127943796273389,4.305,2.71,3.235,2.765,2.439,2.912,2.489,1.798,1.913
21,ap-southeast-2c,m4.16xlarge,4.5756499999999996,0.8415280300721681,0.6068,0.588,0.8559062974538911,4.305,2.71,3.235,2.765,2.439,2.912,2.489,1.798,1.913
22,eu-central-1a,m4.16xlarge,4.488,0.7133709948833336,0.6728977777777778,0.5118999999999999,0.38956508770785664,4.104,2.627,3.137,2.681,2.364,2.823,2.4130000000000003,1.8,1.915
23,eu-central-1b,m4.16xlarge,4.5198,0.7325908364987384,0.6264333333333334,0.5160187500000001,0.5211027699592451,4.104,2.627,3.137,2.681,2.364,2.823,2.4130000000000003,1.8,1.915
24,eu-west-1a,m4.16xlarge,78.1,1.1398150514799457,0.7094,0.4826,2.242304028623988,3.803,2.4130000000000003,2.8810000000000002,2.4619999999999997,2.1719999999999997,2.593,2.2159999999999997,1.646,1.751
25,eu-west-1b,m4.16xlarge,21.63335,1.0281008821300068,0.6959,0.47786666666666683,1.004979241102558,3.803,2.4130000000000003,2.8810000000000002,2.4619999999999997,2.1719999999999997,2.593,2.2159999999999997,1.646,1.751
26,eu-west-1c,m4.16xlarge,7.212999999999999,0.6961259761511952,0.6291666666666668,0.4775499999999999,0.37971065103551205,3.803,2.4130000000000003,2.8810000000000002,2.4619999999999997,2.1719999999999997,2.593,2.2159999999999997,1.646,1.751
27,us-east-1a,m4.16xlarge,2.7686542857142853,0.9374097367092962,0.8310181818181818,0.5129333333333331,0.36731365741738004,3.447,1.984,2.369,2.025,1.786,2.1319999999999997,1.8230000000000002,1.286,1.368
