,AvailabilityZone,InstanceType,OnDemand,yrTerm1Standard.allUpfront,yrTerm1Standard.noUpfront,yrTerm1Standard.partialUpfront,yrTerm3Convertible.allUpfront,yrTerm3Convertible.noUpfront,yrTerm3Convertible.partialUpfront,yrTerm3Standard.allUpfront,yrTerm3Standard.partialUpfront
0,us-east-1,t1.micro,0.02,0.012,0.014,0.012,,,,0.008,0.009
1,us-west-2,t1.micro,0.02,0.012,0.014,0.012,,,,0.008,0.009
2,us-west-1,t1.micro,0.025,0.015,0.017,0.015,,,,0.011,0.012
3,eu-west-1,t1.micro,0.02,0.015,0.016,0.015,,,,0.011,0.012
4,ap-southeast-1,t1.micro,0.02,0.015,0.016,0.015,,,,0.011,0.012
5,ap-northeast-1,t1.micro,0.026,0.016,0.018,0.016,,,,0.012,0.013
6,ap-southeast-2,t1.micro,0.02,0.015,0.016,0.015,,,,0.011,0.012
7,sa-east-1,t1.micro,0.027,0.016,0.019,0.017,,,,0.011,0.012
8,us-east-1,t2.nano,0.0059,0.004,0.005,0.004,0.004,0.004,0.004,0.003,0.003
9,us-west-2,t2.nano,0.0059,0.004,0.005,0.004,0.004,0.004,0.004,0.003,0.003
10,us-west-1,t2.nano,0.0077,0.005,0.006,0.005,0.005,0.005,0.005,0.004,0.004
11,eu-west-1,t2.nano,0.0063,0.004,0.005,0.004,0.004,0.005,0.004,0.003,0.003
12,eu-central-1,t2.nano,0.0068,0.005,0.006,0.005,0.004,0.005,0.004,0.003,0.003
13,ap-southeast-1,t2.nano,0.0075,0.006,0.007,0.006,0.005,0.006,0.005,0.004,0.004
14,ap-northeast-1,t2.nano,0.008,0.006,0.007,0.006,0.005,0.006,0.005,0.004,0.004
15,ap-northeast-2,t2.nano,0.008,0.006,0.007,0.006,0.005,0.006,0.005,0.004,0.004
16,ap-southeast-2,t2.nano,0.008,0.006,0.007,0.006,0.005,0.006,0.006,0.004,0.005
17,sa-east-1,t2.nano,0.0101,0.006,0.007,0.006,0.005,0.006,0.005,0.004,0.005
18,us-east-1,t2.micro,0.012,0.008,0.009,0.008,0.007,0.008,0.007,0.005,0.005
19,us-west-2,t2.micro,0.012,0.008,0.009,0.008,0.007,0.008,0.007,0.005,0.005
20,us-west-1,t2.micro,0.015,0.011,0.012,0.011,0.010,0.011,0.010,0.008,0.008
21,eu-west-1,t2.micro,0.013,0.009,0.010,0.009,0.008,0.009,0.008,0.006,0.006
22,eu-central-1,t2.micro,0.014,0.009,0.011,0.009,0.008,0.010,0.008,0.007,0.007
23,ap-southeast-1,t2.micro,0.015,0.011,0.013,0.011,0.010,0.012,0.010,0.008,0.009
24,ap-northeast-1,t2.micro,0.016,0.012,0.014,0.012,0.011,0.013,0.011,0.008,0.008
25,ap-northeast-2,t2.micro,0.016,0.012,0.014,0.012,0.011,0.013,0.011,0.008,0.008
26,ap-southeast-2,t2.micro,0.016,0.012,0.014,0.012,0.011,0.013,0.011,0.008,0.009
27,sa-east-1,t2.micro,0.02,0.012,0.014,0.012,0.011,0.013,0.011,0.008,0.009
28,us-east-1,t2.small,0.023,0.016,0.018,0.016,0.014,0.016,0.014,0.010,0.011
29,us-west-2,t2.small,0.023,0.016,0.018,0.016,0.014,0.016,0.014,0.010,0.011
30,us-west-1,t2.small,0.031,0.021,0.024,0.021,0.019,0.022,0.019,0.014,0.015
31,eu-west-1,t2.small,0.025,0.017,0.020,0.017,0.015,0.018,0.015,0.011,0.012
32,eu-central-1,t2.small,0.027,0.019,0.022,0.019,0.017,0.020,0.017,0.012,0.013
33,ap-southeast-1,t2.small,0.03,0.023,0.027,0.023,0.021,0.024,0.021,0.017,0.018
34,ap-northeast-1,t2.small,0.032,0.024,0.028,0.024,0.022,0.025,0.022,0.015,0.016
35,ap-northeast-2,t2.small,0.032,0.024,0.028,0.024,0.022,0.025,0.022,0.015,0.016
36,ap-southeast-2,t2.small,0.032,0.024,0.028,0.024,0.022,0.025,0.022,0.018,0.019
37,sa-east-1,t2.small,0.041,0.024,0.028,0.024,0.022,0.025,0.022,0.017,0.018
38,us-east-1,t2.medium,0.047,0.031,0.036,0.032,0.028,0.032,0.029,0.021,0.022
39,us-west-2,t2.medium,0.047,0.031,0.036,0.032,0.028,0.032,0.029,0.021,0.022
40,us-west-1,t2.medium,0.061,0.041,0.048,0.042,0.037,0.043,0.038,0.029,0.031
41,eu-west-1,t2.medium,0.05,0.033,0.040,0.034,0.030,0.036,0.031,0.023,0.024
42,eu-central-1,t2.medium,0.054,0.036,0.043,0.037,0.032,0.039,0.033,0.024,0.026
43,ap-southeast-1,t2.medium,0.06,0.044,0.053,0.045,0.040,0.048,0.041,0.033,0.035
44,ap-northeast-1,t2.medium,0.064,0.046,0.055,0.047,0.041,0.050,0.042,0.030,0.032
45,ap-northeast-2,t2.medium,0.064,0.046,0.055,0.047,0.041,0.050,0.042,0.030,0.032
46,ap-southeast-2,t2.medium,0.064,0.047,0.056,0.048,0.042,0.050,0.043,0.036,0.038
47,sa-east-1,t2.medium,0.081,0.046,0.055,0.047,0.041,0.050,0.042,0.034,0.036
48,us-east-1,t2.large,0.094,0.063,0.072,0.064,0.057,0.065,0.058,0.041,0.044
49,us-west-2,t2.large,0.094,0.063,0.072,0.064,0.057,0.065,0.058,0.041,0.044
50,us-west-1,t2.large,0.122,0.083,0.096,0.085,0.075,0.086,0.077,0.057,0.061
51,eu-west-1,t2.large,0.101,0.067,0.080,0.068,0.060,0.072,0.061,0.045,0.048
52,eu-central-1,t2.large,0.108,0.073,0.087,0.074,0.066,0.078,0.067,0.049,0.052
53,ap-southeast-1,t2.large,0.12,0.088,0.105,0.090,0.079,0.095,0.081,0.067,0.071
54,ap-northeast-1,t2.large,0.128,0.092,0.110,0.094,0.083,0.099,0.085,0.060,0.064
55,ap-northeast-2,t2.large,0.128,0.092,0.110,0.094,0.083,0.099,0.085,0.060,0.064
56,ap-southeast-2,t2.large,0.128,0.094,0.112,0.096,0.085,0.101,0.086,0.070,0.075
57,sa-east-1,t2.large,0.162,0.093,0.111,0.095,0.084,0.100,0.086,0.069,0.073
58,us-east-1,t2.xlarge,0.188,0.126,0.150,0.128,0.113,0.135,0.116,0.083,0.089
59,us-west-2,t2.xlarge,0.188,0.126,0.150,0.128,0.113,0.135,0.116,0.083,0.089
60,us-west-1,t2.xlarge,0.244,0.165,0.197,0.169,0.149,0.178,0.152,0.115,0.122
61,eu-west-1,t2.xlarge,0.202,0.134,0.160,0.137,0.121,0.144,0.123,0.092,0.097
62,eu-central-1,t2.xlarge,0.216,0.145,0.173,0.148,0.130,0.155,0.133,0.098,0.104
63,ap-southeast-1,t2.xlarge,0.24,0.176,0.211,0.180,0.159,0.190,0.162,0.133,0.141
64,ap-northeast-1,t2.xlarge,0.256,0.185,0.221,0.189,0.167,0.199,0.170,0.120,0.128
65,ap-northeast-2,t2.xlarge,0.256,0.185,0.221,0.189,0.167,0.199,0.170,0.120,0.128
66,ap-southeast-2,t2.xlarge,0.256,0.188,0.225,0.192,0.169,0.202,0.173,0.141,0.150
67,sa-east-1,t2.xlarge,0.324,0.185,0.221,0.189,0.167,0.199,0.170,0.137,0.146
68,us-east-1,t2.2xlarge,0.376,0.252,0.300,0.257,0.226,0.270,0.231,0.167,0.177
69,us-west-2,t2.2xlarge,0.376,0.252,0.300,0.257,0.226,0.270,0.231,0.167,0.177
70,us-west-1,t2.2xlarge,0.488,0.331,0.395,0.337,0.297,0.355,0.304,0.229,0.244
71,eu-west-1,t2.2xlarge,0.404,0.269,0.321,0.274,0.242,0.289,0.247,0.183,0.195
72,eu-central-1,t2.2xlarge,0.432,0.289,0.345,0.295,0.260,0.311,0.266,0.196,0.209
73,ap-southeast-1,t2.2xlarge,0.48,0.353,0.421,0.360,0.318,0.379,0.324,0.265,0.282
74,ap-northeast-1,t2.2xlarge,0.512,0.370,0.442,0.378,0.333,0.398,0.340,0.241,0.256
75,ap-northeast-2,t2.2xlarge,0.512,0.370,0.442,0.378,0.333,0.398,0.340,0.241,0.256
76,ap-southeast-2,t2.2xlarge,0.512,0.376,0.449,0.384,0.339,0.404,0.346,0.283,0.301
77,sa-east-1,t2.2xlarge,0.648,0.370,0.442,0.378,0.333,0.398,0.340,0.274,0.291
78,us-east-1,m1.small,0.044,0.024,0.028,0.024,,,,0.015,0.016
79,us-west-2,m1.small,0.044,0.024,0.028,0.024,,,,0.015,0.016
80,us-west-1,m1.small,0.047,0.029,0.034,0.030,,,,0.019,0.020
81,eu-west-1,m1.small,0.047,0.029,0.034,0.030,,,,0.019,0.020
82,ap-southeast-1,m1.small,0.058,0.033,0.039,0.033,,,,0.021,0.022
83,ap-northeast-1,m1.small,0.061,0.032,0.037,0.032,,,,0.021,0.022
84,ap-southeast-2,m1.small,0.058,0.033,0.039,0.033,,,,0.021,0.022
85,sa-east-1,m1.small,0.058,0.029,0.034,0.029,,,,0.020,0.022
86,us-east-1,m1.medium,0.087,0.047,0.056,0.048,,,,0.029,0.031
87,us-west-2,m1.medium,0.087,0.047,0.056,0.048,,,,0.029,0.031
88,us-west-1,m1.medium,0.095,0.059,0.068,0.060,,,,0.038,0.040
89,eu-west-1,m1.medium,0.095,0.059,0.068,0.060,,,,0.038,0.040
90,ap-southeast-1,m1.medium,0.117,0.065,0.078,0.066,,,,0.041,0.044
