TimeStamp,SpotPrice,InstanceType,OS type,AvailabilityZone
2014-02-16 10:58:26,0.4,c3.4xlarge,Linux/UNIX,us-west-1a
2014-02-17 10:58:56,0.4,c3.4xlarge,Linux/UNIX,us-west-1a
2014-02-18 00:32:45,0.45,c3.4xlarge,Linux/UNIX,us-west-1a
2014-02-19 00:33:08,0.45,c3.4xlarge,Linux/UNIX,us-west-1a
2014-02-19 11:49:14,0.75,c3.4xlarge,Linux/UNIX,us-west-1a
2014-02-19 16:49:25,1.5,c3.4xlarge,Linux/UNIX,us-west-1a
2014-02-20 16:50:20,1.5,c3.4xlarge,Linux/UNIX,us-west-1a
2014-02-21 16:50:22,1.5,c3.4xlarge,Linux/UNIX,us-west-1a
2014-02-21 17:25:58,2.0,c3.4xlarge,Linux/UNIX,us-west-1a
2014-02-22 02:12:20,0.4,c3.4xlarge,Linux/UNIX,us-west-1a
2014-02-23 02:13:04,0.4,c3.4xlarge,Linux/UNIX,us-west-1a
2014-02-24 00:19:40,2.0,c3.4xlarge,Linux/UNIX,us-west-1a
2014-02-25 00:20:13,2.0,c3.4xlarge,Linux/UNIX,us-west-1a
2014-02-25 05:16:56,0.4,c3.4xlarge,Linux/UNIX,us-west-1a
2014-02-25 07:09:40,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-02-26 07:10:59,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-02-27 07:12:10,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-02-28 07:13:25,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-01 07:14:22,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-02 07:15:08,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-03 07:15:36,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-04 07:16:28,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-05 07:17:20,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-06 07:18:18,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
